test_id,excTimeJava,excTimeCpp,,results__avg,avgCpp
288,1612,1524,,,
289,1608,1721,,,
290,1604,1516,,,
291,1602,1514,,,
292,1602,1512,,,
293,1601,1520,,,
294,1601,1516,,,
295,1601,1523,,,
296,1603,1513,,,
297,1608,1508,,,
298,1603,1508,,,
299,1602,1520,,,
300,1605,1517,,,
301,1600,1516,,,
302,1603,1511,,,
303,1601,1514,,,
304,1602,1512,,,
305,1605,1521,,,
306,1605,1510,,,
307,1603,1517,,,
308,1603,1510,,,
309,1603,1507,,,
310,1601,1514,,,
311,1602,1514,,,
312,1602,1511,,,
313,1602,1509,,,
314,1606,1511,,,
315,1604,1512,,,
316,1604,1525,,,
317,1603,1518,,,
318,1601,1518,,,
319,1602,1518,,,
320,1602,1515,,,
321,1601,1514,,,
322,1607,1516,,,
323,1602,1510,,,
324,1598,1510,,,
325,1601,1511,,,
326,1599,1511,,,
327,1598,1508,,,
328,1601,1516,,,
329,1600,1508,,,
330,1599,1509,,,
331,1603,1506,,,
332,1601,1509,,,
333,1601,1521,,,
334,1600,1515,,,
335,1601,1517,,,
336,1598,1513,,,
337,1598,1519,,,
338,1600,1515,,,
339,1599,1516,,,
340,1601,1507,,,
341,1603,1516,,,
342,1599,1511,,,
343,1598,1508,,,
344,1600,1507,,,
345,1600,1518,,,
346,1598,1512,,,
347,1599,1509,,,
348,1600,1513,,,
349,1603,1787,,,
350,1602,1522,,,
351,1598,1519,,,
352,1600,1515,,,
353,1598,1517,,,
354,1600,1516,,,
355,1598,1518,,,
356,1600,1509,,,
357,1600,1511,,,
358,1602,1512,,,
359,1601,1509,,,
360,1599,1509,,,
361,1598,1510,,,
362,1599,1509,,,
363,1599,1508,,,
364,1600,1512,,,
365,1599,1512,,,
366,1600,1507,,,
367,1602,1518,,,
368,1603,1515,,,
369,1599,1516,,,
370,1600,1516,,,
371,1601,1514,,,
372,1599,1518,,,
373,1598,1517,,,
374,1598,1510,,,
375,1601,1506,,,
376,1603,1510,,,
377,1599,1516,,,
378,1598,1509,,,
379,1599,1507,,,
380,1601,1509,,,
381,1598,1508,,,
382,1598,1513,,,
383,1602,1511,,,
384,1602,1518,,,
385,1600,1520,,,
386,1599,1513,,,
387,1600,1512,,,
388,1599,1517,,,
389,1599,1520,,,
390,1600,1516,,,
391,1599,1508,,,
392,1602,1515,,,
393,1601,1516,,,
394,1598,1509,,,
395,1599,1509,,,
396,1600,1511,,,
397,1598,1508,,,
398,1598,1506,,,
399,1599,1511,,,
400,1603,1511,,,
401,1602,1518,,,
402,1599,1523,,,
403,1600,1512,,,
404,1597,1513,,,
405,1598,1524,,,
406,1602,1521,,,
407,1598,1515,,,
408,1603,1511,,,
409,1603,1511,,,
410,1678,1512,,,
411,1644,1507,,,
412,1606,1513,,,
413,1606,1512,,,
414,1604,1508,,,
415,1607,1510,,,
416,1609,1509,,,
417,1602,1515,,,
418,1599,1510,,,
419,1599,1513,,,
420,1598,1515,,,
421,1599,1516,,,
422,1599,1516,,,
423,1600,1515,,,
424,1601,1518,,,
425,1599,1522,,,
426,1599,1510,,,
427,1600,1517,,,
428,1597,1509,,,
429,1598,1509,,,
430,1598,1505,,,
431,1602,1513,,,
432,1604,1507,,,
433,1599,1521,,,
434,1599,1516,,,
435,1598,1515,,,
436,1598,1516,,,
437,1601,1514,,,
438,1600,1512,,,
439,1603,1515,,,
440,1601,1514,,,
441,1599,1508,,,
442,1601,1517,,,
443,1599,1508,,,
444,1599,1511,,,
445,1599,1507,,,
446,1599,1514,,,
447,1603,1505,,,
448,1601,1512,,,
449,1599,1504,,,
450,1600,1511,,,
451,1600,1508,,,
452,1599,1515,,,
453,1600,1511,,,
454,1600,1512,,,
455,1603,1514,,,
456,1602,1790,,,
457,1598,1511,,,
458,1602,1513,,,
459,1598,1519,,,
460,1600,1514,,,
461,1599,1514,,,
462,1602,1514,,,
463,1597,1513,,,
464,1601,1507,,,
465,1601,1508,,,
466,1598,1506,,,
467,1598,1512,,,
468,1599,1510,,,
469,1598,1508,,,
470,1599,1513,,,
471,1598,1516,,,
472,1597,1514,,,
473,1600,1510,,,
474,1604,1516,,,
475,1598,1519,,,
476,1598,1518,,,
477,1603,1506,,,
478,1598,1516,,,
479,1599,1504,,,
480,1599,1515,,,
481,1598,1502,,,
482,1598,1512,,,
483,1602,1506,,,
484,1602,1513,,,
485,1600,1502,,,
486,1599,1512,,,
487,1598,1516,,,
488,1599,1521,,,
489,1598,1509,,,
490,1599,1515,,,
491,1599,1514,,,
492,1598,1513,,,
493,1601,1513,,,
494,1603,1505,,,
495,1844,1504,,,
496,1604,1509,,,
497,1606,1508,,,
498,1617,1510,,,
499,1605,1507,,,
500,1605,1514,,,
