tests_id,excTimeJava,excTimeCpp,,avgJava,avg Cpp
410,2539,1859,,,
411,2541,1857,,,
412,2542,1864,,,
413,2541,1862,,,
414,2543,1860,,,
415,2545,1861,,,
416,2541,1861,,,
417,2540,1861,,,
418,2540,1858,,,
419,2542,1871,,,
420,2541,1893,,,
421,2540,1861,,,
422,2614,1862,,,
423,2549,1860,,,
424,2549,1861,,,
425,2547,1863,,,
426,2543,1857,,,
427,2539,1857,,,
428,2540,1855,,,
429,2540,1856,,,
430,2539,1858,,,
431,2539,1858,,,
432,2542,1864,,,
433,2543,1865,,,
434,2544,1862,,,
435,2543,1862,,,
436,2542,1862,,,
437,2542,1864,,,
438,2541,1857,,,
439,2540,1857,,,
440,2538,1856,,,
441,2542,1857,,,
442,2542,1858,,,
443,2541,1857,,,
444,2544,1857,,,
445,2545,1858,,,
446,2542,1858,,,
447,2540,1860,,,
448,2542,1859,,,
449,2541,1858,,,
450,2542,1857,,,
451,2540,1857,,,
452,2540,1864,,,
453,2542,1862,,,
454,2541,1861,,,
455,2545,1862,,,
456,2543,1861,,,
457,2541,1860,,,
458,2539,1857,,,
459,2545,1859,,,
460,2540,1859,,,
461,2539,1860,,,
462,2540,1861,,,
463,2540,1858,,,
464,2544,1858,,,
465,2543,1858,,,
466,2544,1858,,,
467,2539,1856,,,
468,2539,1858,,,
469,2619,1858,,,
470,2545,1856,,,
471,2545,1857,,,
472,2549,1862,,,
473,2548,1862,,,
474,2542,1864,,,
475,2545,1863,,,
476,2543,1864,,,
477,2541,1863,,,
478,2542,1858,,,
479,2541,1860,,,
480,2541,1858,,,
481,2540,1858,,,
482,2543,1857,,,
483,2543,1857,,,
484,2544,1856,,,
485,2544,1857,,,
486,2543,1857,,,
487,2542,1859,,,
488,2542,1860,,,
489,2543,1858,,,
490,2540,1858,,,
491,2539,1857,,,
492,2540,1866,,,
493,2541,1864,,,
494,2543,1862,,,
495,2544,1863,,,
496,2543,1863,,,
497,2541,1860,,,
498,2541,1858,,,
499,2542,1856,,,
500,2540,1859,,,
